Title,Rating,Votes,Genre,Years,Runtime
Le samouraï,8.1,"49,847","Crime, Drama            ",(2003),105 min
Cool Hand Luke,8.1,"173,134","Crime, Drama            ",(1994),127 min
Persona,8.1,"114,091","Drama, Thriller            ",(1993),85 min
Andrei Rublev,8.1,"52,400","Biography, Drama, History            ",(2010),205 min
La battaglia di Algeri,8.1,"58,392","Drama, War            ",(1999),121 min
El ángel exterminador,8.1,"32,466","Drama, Fantasy            ",(2001),95 min
What Ever Happened to Baby Jane?,8.1,"54,316","Drama, Horror, Thriller            ",(1994),134 min
Sanjuro,8.1,"37,381","Action, Drama, Thriller            ",(1966),96 min
The Man Who Shot Liberty Valance,8.1,"74,194","Drama, Western            ",(2021),123 min
Ivanovo detstvo,8.1,"35,326","Drama, War            ",(2020),95 min
Jungfrukällan,8.1,"28,615",Drama            ,(2021),89 min
Inherit the Wind,8.1,"29,593","Biography, Drama, History            ",(2021),128 min
Les quatre cents coups,8.1,"114,306","Crime, Drama            ",(2002),99 min
Ben-Hur,8.1,"232,974","Adventure, Drama, History            ",(1999),212 min
Kakushi-toride no san-akunin,8.1,"38,102","Action, Adventure, Drama            ",(1990),139 min
Le notti di Cabiria,8.1,"47,716",Drama            ,(1980),110 min
Kumonosu-jô,8.1,"50,948","Drama, History            ",(1975),110 min
The Bridge on the River Kwai,8.1,"215,268","Adventure, Drama, War            ",(2019),161 min
Du rififi chez les hommes,8.1,"33,385","Crime, Drama, Thriller            ",(2021),118 min
On the Waterfront,8.1,"151,297","Crime, Drama, Thriller            ",(2014),108 min
Les diaboliques,8.1,"64,848","Crime, Drama, Horror            ",(2002),117 min
Le salaire de la peur,8.1,"59,471","Adventure, Drama, Thriller            ",(2001),131 min
Ace in the Hole,8.1,"34,921","Drama, Film-Noir            ",(1998),111 min
White Heat,8.1,"32,135","Action, Crime, Drama            ",(1999),114 min
The Third Man,8.1,"168,216","Film-Noir, Mystery, Thriller            ",(1997),104 min
The Red Shoes,8.1,"33,971","Drama, Music, Romance            ",(1995),135 min
Roma città aperta,8.1,"25,785","Drama, Thriller, War            ",(1991),103 min
The Best Years of Our Lives,8.1,"62,129","Drama, Romance, War            ",(1977),170 min
The Shop Around the Corner,8.1,"32,110","Comedy, Drama, Romance            ",(1962),99 min
Rebecca,8.1,"133,819","Drama, Film-Noir, Mystery            ",(1954),130 min
The Grapes of Wrath,8.1,"90,488",Drama            ,(1946),129 min
Mr. Smith Goes to Washington,8.1,"113,487","Comedy, Drama            ",(II) (2018),129 min
Gone with the Wind,8.1,"307,404","Drama, History, Romance            ",(2014),238 min
La Grande Illusion,8.1,"35,958","Drama, War            ",(2011),113 min
It Happened One Night,8.1,"101,179","Comedy, Romance            ",(2006),105 min
All Quiet on the Western Front,8.1,"60,318","Drama, War            ",(2006),152 min
La passion de Jeanne d'Arc,8.1,"52,849","Biography, Drama, History            ",(2002),110 min
The Circus,8.1,"33,002","Comedy, Family, Romance            ",(2000),72 min
Sunrise: A Song of Two Humans,8.1,"50,307","Drama, Romance            ",(1998),94 min
The General,8.1,"88,951","Action, Adventure, Comedy            ",(1995),67 min
Das Cabinet des Dr. Caligari,8.1,"61,895","Horror, Mystery, Thriller            ",(1994),76 min
Badhaai ho,8.0,"32,628","Comedy, Drama            ",(1994),124 min
Super 30,8.0,"28,787","Biography, Drama            ",(1991),154 min
WolfWalkers,8.0,"29,062","Animation, Adventure, Family            ",(1988),103 min
Togo,8.0,"45,904","Adventure, Biography, Drama            ",(1988),113 min
Airlift,8.0,"55,967","Drama, History            ",(1985),130 min
M.S. Dhoni: The Untold Story,8.0,"51,248","Biography, Drama, Sport            ",(1968),184 min
Bajrangi Bhaijaan,8.0,"83,546","Action, Adventure, Comedy            ",(1960),163 min
Baby,8.0,"56,457","Action, Crime, Thriller            ",(1954),159 min
La La Land,8.0,"557,087","Comedy, Drama, Music            ",(1942),128 min
Lion,8.0,"229,958","Biography, Drama            ",(1936),118 min
The Martian,8.0,"818,363","Adventure, Drama, Sci-Fi            ",(1931),144 min
Zootopia,8.0,"474,226","Animation, Adventure, Comedy            ",(2020),108 min
Bãhubali: The Beginning,8.0,"111,983","Action, Drama            ",(2018),159 min
Kaguya-hime no monogatari,8.0,"44,309","Animation, Drama, Family            ",(I) (2019),137 min
Wonder,8.0,"158,088","Drama, Family            ",(2018),113 min
Special Chabbis,8.0,"54,923","Crime, Drama, Thriller            ",(2017),144 min
Short Term 12,8.0,"86,390",Drama            ,(2016),96 min
Serbuan maut 2: Berandal,8.0,"120,700","Action, Crime, Thriller            ",(2016),150 min
The Imitation Game,8.0,"738,744","Biography, Drama, Thriller            ",(2018),114 min
Guardians of the Galaxy,8.0,"1,125,713","Action, Adventure, Comedy            ",(2019),121 min
Blade Runner 2049,8.0,"529,201","Action, Drama, Mystery            ",(2018),164 min
Her,8.0,"583,484","Drama, Romance, Sci-Fi            ",(I) (2017),126 min
The Revenant,8.0,"767,870","Action, Adventure, Drama            ",(2012),156 min
Tropa de Elite 2: O Inimigo Agora é Outro,8.0,"82,073","Action, Crime, Drama            ",(2012),115 min
The King's Speech,8.0,"666,424","Biography, Drama, History            ",(2009),118 min
The Help,8.0,"445,279",Drama            ,(2007),146 min
Deadpool,8.0,"980,967","Action, Adventure, Comedy            ",(2008),108 min
Darbareye Elly,8.0,"52,227","Drama, Mystery            ",(2006),119 min
Dev.D,8.0,"30,239","Comedy, Drama, Romance            ",(2003),144 min
Ip Man,8.0,"220,078","Action, Biography, Drama            ",(2000),106 min
My Name Is Khan,8.0,"104,254","Drama, Romance            ",(1997),165 min
Nefes: Vatan Sagolsun,8.0,"33,249","Action, Drama, Thriller            ",(1981),128 min
Slumdog Millionaire,8.0,"828,595","Drama, Romance            ",(1980),120 min
Black Swan,8.0,"739,063","Drama, Thriller            ",(1979),108 min
Tropa de Elite,8.0,"102,207","Action, Crime, Drama            ",(1979),115 min
The Avengers,8.0,"1,340,209","Action, Adventure, Sci-Fi            ",(1963),143 min
Persepolis,8.0,"93,153","Animation, Biography, Drama            ",(1964),96 min
Dallas Buyers Club,8.0,"472,709","Biography, Drama            ",(1957),117 min
The Pursuit of Happyness,8.0,"488,759","Biography, Drama            ",(1957),117 min
Blood Diamond,8.0,"531,598","Adventure, Drama, Thriller            ",(1955),143 min
The Bourne Ultimatum,8.0,"624,181","Action, Mystery, Thriller            ",(1950),115 min
Bin-jip,8.0,"54,104","Crime, Drama, Romance            ",(1940),88 min
Sin City,8.0,"756,796","Crime, Thriller            ",(2019),124 min
Le scaphandre et le papillon,8.0,"106,726","Biography, Drama            ",(2019),112 min
Taegukgi hwinalrimyeo,8.0,"39,312","Action, Drama, War            ",(2019),140 min
Ratatouille,8.0,"687,861","Animation, Adventure, Comedy            ",(2018),111 min
Casino Royale,8.0,"638,649","Action, Adventure, Thriller            ",(2018),144 min
Kill Bill: Vol. 2,8.0,"729,896","Action, Crime, Thriller            ",(2017),137 min
Vozvrashchenie,8.0,"44,909",Drama            ,(2013),110 min
Bom yeoreum gaeul gyeoul geurigo bom,8.0,"81,638","Drama, Romance            ",(2012),103 min
Mar adentro,8.0,"80,728","Biography, Drama            ",(2011),126 min
Cinderella Man,8.0,"184,112","Biography, Drama, History            ",(2010),144 min
Nosferatu,7.9,"94,197","Fantasy, Horror            ",(1922),94 min
The Gentlemen,7.8,"304,856","Action, Comedy, Crime            ",(2019),113 min
Badla,7.8,"26,663","Crime, Drama, Mystery            ",(2019),118 min
Doragon bôru chô: Burorî,7.8,"25,706","Animation, Action, Adventure            ",(2018),100 min
Raazi,7.8,"29,178","Action, Drama, Thriller            ",(2018),138 min
Sound of Metal,7.8,"115,665","Drama, Music            ",(2019),120 min
Isle of Dogs,7.8,"160,331","Animation, Adventure, Comedy            ",(2018),101 min
Dunkirk,7.8,"619,894","Action, Drama, History            ",(2017),106 min
Perfetti sconosciuti,7.8,"63,201","Comedy, Drama            ",(2016),96 min
Paddington 2,7.8,"71,692","Adventure, Comedy, Family            ",(2017),103 min
Udta Punjab,7.8,"29,577","Action, Crime, Drama            ",(2016),148 min
Kubo and the Two Strings,7.8,"125,922","Animation, Action, Adventure            ",(2016),101 min
Manchester by the Sea,7.8,"269,788",Drama            ,(2016),137 min
Under sandet,7.8,"39,851","Drama, History, War            ",(2015),100 min
Rogue One,7.8,"597,429","Action, Adventure, Sci-Fi            ",(2016),133 min
West Side Story,7.8,"30,464","Crime, Drama, Musical            ",(2021),156 min
Captain America: Civil War,7.8,"740,311","Action, Adventure, Sci-Fi            ",(2016),147 min
The Hateful Eight,7.8,"570,344","Crime, Drama, Mystery            ",(2015),168 min
Little Women,7.8,"184,849","Drama, Romance            ",(2019),135 min
Loving Vincent,7.8,"56,101","Animation, Biography, Crime            ",(2017),94 min
Pride,7.8,"55,291","Biography, Comedy, Drama            ",(I) (2014),119 min
Nightcrawler,7.8,"513,817","Crime, Drama, Thriller            ",(2014),117 min
Star Wars: Episode VII - The Force Awakens,7.8,"901,422","Action, Adventure, Sci-Fi            ",(2015),138 min
La grande bellezza,7.8,"88,140",Drama            ,(2013),141 min
The Lunchbox,7.8,"54,629","Drama, Romance            ",(2013),104 min
Vicky Donor,7.8,"42,380","Comedy, Romance            ",(2012),126 min
Big Hero 6,7.8,"442,018","Animation, Action, Adventure            ",(2014),102 min
Kai po che!,7.8,"36,118","Drama, Sport            ",(2013),130 min
About Time,7.8,"332,508","Comedy, Drama, Fantasy            ",(I) (2013),123 min
English Vinglish,7.8,"35,600","Comedy, Drama, Family            ",(2012),134 min
Kaze tachinu,7.8,"81,795","Animation, Biography, Drama            ",(2013),126 min
La migliore offerta,7.8,"115,946","Crime, Drama, Mystery            ",(2013),131 min
Moonrise Kingdom,7.8,"340,602","Comedy, Drama, Romance            ",(2012),94 min
How to Train Your Dragon 2,7.8,"323,964","Animation, Action, Adventure            ",(2014),102 min
The Big Short,7.8,"409,244","Biography, Comedy, Drama            ",(2015),130 min
Ang-ma-reul bo-at-da,7.8,"124,245","Action, Crime, Drama            ",(2010),144 min
The Girl with the Dragon Tattoo,7.8,"451,323","Crime, Drama, Mystery            ",(2011),158 min
Captain Phillips,7.8,"446,674","Action, Biography, Crime            ",(2013),134 min
Ajeossi,7.8,"67,880","Action, Crime, Drama            ",(2010),119 min
Straight Outta Compton,7.8,"194,464","Biography, Drama, History            ",(2015),147 min
The Irishman,7.8,"365,612","Biography, Crime, Drama            ",(2019),209 min
Madeo,7.8,"60,991","Crime, Drama, Mystery            ",(2009),129 min
Chugyeokja,7.8,"64,127","Action, Crime, Drama            ",(2008),125 min
Moon,7.8,"351,143","Drama, Mystery, Sci-Fi            ",(2009),97 min
The Hobbit: The Desolation of Smaug,7.8,"637,127","Adventure, Fantasy            ",(2013),161 min
Das weiße Band - Eine deutsche Kindergeschichte,7.8,"72,325","Drama, History, Mystery            ",(2009),144 min
Män som hatar kvinnor,7.8,"214,742","Crime, Drama, Mystery            ",(2009),152 min
Skyfall,7.8,"679,764","Action, Adventure, Thriller            ",(2012),143 min
The Trial of the Chicago 7,7.8,"167,805","Drama, History, Thriller            ",(2020),129 min
The Fighter,7.8,"357,127","Action, Biography, Drama            ",(I) (2010),116 min
Taken,7.8,"589,426","Action, Crime, Thriller            ",(I) (2008),90 min
The Boy in the Striped Pyjamas,7.8,"209,457","Drama, History, War            ",(2008),93 min
Once,7.8,"115,090","Drama, Music, Romance            ",(I) (2007),86 min
The Hobbit: An Unexpected Journey,7.8,"797,453","Adventure, Fantasy            ",(2012),169 min
